"","Open","High","Low","Close","Volume","Adjusted","Stock","Sector","Date"
"30802",97.589996,97.870003,96.529999,97.129997,8054300,97.129997,"WMT","Consumer","2019-03-28"
"30812",97.589996,97.669998,97.040001,97.529999,7439900,97.529999,"WMT","Consumer","2019-03-29"
"30822",97.970001,98.360001,97.559998,97.82,8505800,97.82,"WMT","Consumer","2019-04-01"
"30832",97.760002,98.309998,96.900002,96.940002,6274000,96.940002,"WMT","Consumer","2019-04-02"
"30842",97.120003,97.400002,96.790001,97.190002,5687500,97.190002,"WMT","Consumer","2019-04-03"
"30852",97.25,98.279999,97.239998,98.110001,4026300,98.110001,"WMT","Consumer","2019-04-04"
"30862",98.25,99.199997,98.160004,98.830002,4656000,98.830002,"WMT","Consumer","2019-04-05"
"30872",98.449997,99.25,98.260002,99.230003,5422400,99.230003,"WMT","Consumer","2019-04-08"
"30882",98.800003,99.230003,98.150002,98.690002,4367500,98.690002,"WMT","Consumer","2019-04-09"
"30892",98.510002,99.720001,98.5,99.599998,4091100,99.599998,"WMT","Consumer","2019-04-10"
"30902",99.699997,100.830002,99.470001,100.800003,5606900,100.800003,"WMT","Consumer","2019-04-11"
"30912",101,102.019997,101,101.559998,5161000,101.559998,"WMT","Consumer","2019-04-12"
"30613",113.449997,114.440002,113.449997,114.010002,6996900,114.010002,"DIS","Consumer","2019-03-01"
"30623",114.419998,114.419998,113.089996,114.330002,6015000,114.330002,"DIS","Consumer","2019-03-04"
"30633",114.230003,114.540001,113.760002,114,5225100,114,"DIS","Consumer","2019-03-05"
"30643",114,115.050003,114,114.849998,7352800,114.849998,"DIS","Consumer","2019-03-06"
"30653",114.849998,114.900002,113.470001,114.010002,6322000,114.010002,"DIS","Consumer","2019-03-07"
"30663",113.459999,113.839996,112.900002,113.809998,6549100,113.809998,"DIS","Consumer","2019-03-08"
"30673",114.040001,115,114.029999,114.75,6952700,114.75,"DIS","Consumer","2019-03-11"
"30683",114.720001,115.300003,114.040001,114.730003,9920300,114.730003,"DIS","Consumer","2019-03-12"
"30693",114.839996,114.849998,113.720001,114.089996,17994500,114.089996,"DIS","Consumer","2019-03-13"
"30703",114.120003,114.769997,113.93,114.480003,17409600,114.480003,"DIS","Consumer","2019-03-14"
"30713",114.5,115.480003,113.68,114.959999,14932700,114.959999,"DIS","Consumer","2019-03-15"
"30723",113.029999,114,112.459999,113.120003,21769800,113.120003,"DIS","Consumer","2019-03-18"
"30733",112.949997,113.709999,109.800003,110,45384400,110,"DIS","Consumer","2019-03-19"
"30743",110.309998,110.879997,108.050003,109.989998,35588700,109.989998,"DIS","Consumer","2019-03-20"
"30753",110.099998,110.150002,108.370003,108.660004,27438900,108.660004,"DIS","Consumer","2019-03-21"
"30763",108.330002,109,107.510002,108.230003,24133800,108.230003,"DIS","Consumer","2019-03-22"
"30773",108.489998,109.07,107.32,107.790001,18187500,107.790001,"DIS","Consumer","2019-03-25"
"30783",108.400002,110.339996,108.269997,110.139999,16693100,110.139999,"DIS","Consumer","2019-03-26"
"30793",110.449997,111.089996,109.730003,110.279999,10794800,110.279999,"DIS","Consumer","2019-03-27"
"30803",110.599998,111.269997,110.239998,110.709999,11748900,110.709999,"DIS","Consumer","2019-03-28"
"30813",111.559998,111.599998,110.389999,111.029999,16358800,111.029999,"DIS","Consumer","2019-03-29"
"30823",111.589996,112.870003,111.379997,112.510002,10785100,112.510002,"DIS","Consumer","2019-04-01"
"30833",113.150002,113.309998,111.919998,111.959999,9231800,111.959999,"DIS","Consumer","2019-04-02"
"30843",112.699997,113.110001,112.209999,112.519997,10534900,112.519997,"DIS","Consumer","2019-04-03"
"30853",113.239998,114.860001,113.029999,114.75,14378400,114.75,"DIS","Consumer","2019-04-04"
"30863",114.970001,115.129997,114.309998,115,10907900,115,"DIS","Consumer","2019-04-05"
"30873",115,115.830002,114.639999,114.959999,11054200,114.959999,"DIS","Consumer","2019-04-08"
"30883",115.610001,117.160004,115.279999,116.860001,17340300,116.860001,"DIS","Consumer","2019-04-09"
"30893",117.580002,118.029999,116.279999,117.160004,14091100,117.160004,"DIS","Consumer","2019-04-10"
"30903",117.730003,117.860001,116.32,116.599998,12784500,116.599998,"DIS","Consumer","2019-04-11"
"30913",127.910004,130.899994,126.360001,130.059998,65186700,130.059998,"DIS","Consumer","2019-04-12"
"30614",70.629997,71.110001,70.449997,70.849998,8067700,70.849998,"SBUX","Consumer","2019-03-01"
"30624",70.989998,71.349998,70.370003,70.949997,9219700,70.949997,"SBUX","Consumer","2019-03-04"
"30634",71.190002,71.889999,71.059998,71.580002,10496100,71.580002,"SBUX","Consumer","2019-03-05"
"30644",71.809998,72.18,71.160004,71.269997,7666100,71.269997,"SBUX","Consumer","2019-03-06"
"30654",71.199997,71.360001,70.459999,70.610001,7361400,70.610001,"SBUX","Consumer","2019-03-07"
"30664",70.150002,70.269997,69.029999,69.360001,12363900,69.360001,"SBUX","Consumer","2019-03-08"
"30674",69.379997,70.010002,69.139999,69.68,11518300,69.68,"SBUX","Consumer","2019-03-11"
"30684",69.739998,70.580002,69.690002,70.050003,12751700,70.050003,"SBUX","Consumer","2019-03-12"
"30694",70.089996,70.900002,69.980003,70.099998,13798600,70.099998,"SBUX","Consumer","2019-03-13"
"30704",70.190002,70.889999,70.190002,70.739998,9249200,70.739998,"SBUX","Consumer","2019-03-14"
"30714",70.800003,71.209999,70.540001,70.669998,13096900,70.669998,"SBUX","Consumer","2019-03-15"
"30724",70.779999,71.120003,70.440002,70.839996,5682400,70.839996,"SBUX","Consumer","2019-03-18"
"30734",70.949997,71.699997,70.870003,71.379997,7810700,71.379997,"SBUX","Consumer","2019-03-19"
"30744",71.800003,72.400002,71.339996,71.629997,9512400,71.629997,"SBUX","Consumer","2019-03-20"
"30754",71.32,72.440002,71.32,72.260002,8044400,72.260002,"SBUX","Consumer","2019-03-21"
"30764",72.050003,72.410004,71.690002,71.959999,8022800,71.959999,"SBUX","Consumer","2019-03-22"
"30774",72,72.480003,71.730003,72.300003,6453800,72.300003,"SBUX","Consumer","2019-03-25"
"30784",72.720001,73.190002,72.330002,72.959999,7624000,72.959999,"SBUX","Consumer","2019-03-26"
"30794",72.940002,73.260002,72.620003,72.739998,7662700,72.739998,"SBUX","Consumer","2019-03-27"
"30804",72.970001,73.980003,72.889999,73.959999,6709600,73.959999,"SBUX","Consumer","2019-03-28"
"30814",74.010002,74.480003,73.529999,74.339996,9099500,74.339996,"SBUX","Consumer","2019-03-29"
"30824",74.760002,74.93,73.730003,73.959999,8108400,73.959999,"SBUX","Consumer","2019-04-01"
"30834",74.010002,74.449997,73.839996,74.269997,5520900,74.269997,"SBUX","Consumer","2019-04-02"
"30844",74.559998,74.779999,73.870003,74.330002,6755600,74.330002,"SBUX","Consumer","2019-04-03"
"30854",74.5,74.669998,73.980003,74.349998,5449800,74.349998,"SBUX","Consumer","2019-04-04"
"30864",74.349998,75.080002,74.349998,75.029999,5346200,75.029999,"SBUX","Consumer","2019-04-05"
"30874",74.470001,75.300003,74.470001,75.199997,5140400,75.199997,"SBUX","Consumer","2019-04-08"
"30884",74.870003,75.230003,74.800003,75.120003,4905800,75.120003,"SBUX","Consumer","2019-04-09"
"30894",75.209999,75.82,75.209999,75.480003,6066300,75.480003,"SBUX","Consumer","2019-04-10"
"30904",75.75,76.07,75.650002,75.870003,6042600,75.870003,"SBUX","Consumer","2019-04-11"
"30914",76.099998,76.949997,76.07,76.650002,5194100,76.650002,"SBUX","Consumer","2019-04-12"
"30615",198.75,201.440002,197.429993,198.199997,2580500,198.199997,"GS","Financial","2019-03-01"
"30625",198.809998,200.830002,194.149994,195.979996,2683600,195.979996,"GS","Financial","2019-03-04"
"30635",195.850006,196.179993,193,196,2338600,196,"GS","Financial","2019-03-05"
"30645",195.899994,197.559998,194.529999,194.740005,2247500,194.740005,"GS","Financial","2019-03-06"
"30655",193.130005,193.449997,190.080002,192.770004,3567800,192.770004,"GS","Financial","2019-03-07"
"30665",190.399994,195.770004,189.710007,195.240005,3162700,195.240005,"GS","Financial","2019-03-08"
"30675",197.229996,198.970001,195.729996,195.970001,2669000,195.970001,"GS","Financial","2019-03-11"
"30685",196,197.399994,195.690002,196.630005,1977400,196.630005,"GS","Financial","2019-03-12"
"30695",197.75,198.929993,196.520004,197.25,1904500,197.25,"GS","Financial","2019-03-13"
"30705",197.320007,198.5,196.699997,197.470001,1482300,197.470001,"GS","Financial","2019-03-14"
"30715",197.160004,198.850006,196.850006,198.259995,2985200,198.259995,"GS","Financial","2019-03-15"
"30725",199.179993,203.850006,198.919998,202.470001,3354900,202.470001,"GS","Financial","2019-03-18"
"30735",204.880005,206.449997,200.779999,201.119995,3284900,201.119995,"GS","Financial","2019-03-19"
"30745",200.330002,200.330002,193.970001,194.320007,5033500,194.320007,"GS","Financial","2019-03-20"
"30755",192.899994,195.550003,191.75,194.580002,4031500,194.580002,"GS","Financial","2019-03-21"
"30765",192.669998,193.710007,187.779999,188.960007,5703100,188.960007,"GS","Financial","2019-03-22"
"30775",189.330002,191.449997,186.5,188.509995,3751000,188.509995,"GS","Financial","2019-03-25"
"30785",190.029999,192.410004,188.690002,190.690002,2910100,190.690002,"GS","Financial","2019-03-26"
"30795",190.600006,191.610001,188.740005,190.029999,2343800,190.029999,"GS","Financial","2019-03-27"
"30805",190.740005,191.910004,189.289993,191.179993,2343400,191.179993,"GS","Financial","2019-03-28"
"30815",192.679993,193.110001,191.139999,191.990005,2632800,191.990005,"GS","Financial","2019-03-29"
"30825",194,198.089996,193.610001,196.740005,3562600,196.740005,"GS","Financial","2019-04-01"
"30835",196.240005,197.759995,195.399994,197.5,2247000,197.5,"GS","Financial","2019-04-02"
"30845",199.25,201.089996,198.539993,200.860001,3227900,200.860001,"GS","Financial","2019-04-03"
"30855",200.800003,204.289993,200.5,202.229996,2582300,202.229996,"GS","Financial","2019-04-04"
"30865",203.380005,205.5,202.059998,202.380005,2447100,202.380005,"GS","Financial","2019-04-05"
"30875",202.789993,203.630005,201.179993,202.539993,1891500,202.539993,"GS","Financial","2019-04-08"
"30885",201.229996,201.589996,198.860001,200.619995,2400900,200.619995,"GS","Financial","2019-04-09"
"30895",201.800003,203.169998,200.270004,202.979996,1907100,202.979996,"GS","Financial","2019-04-10"
"30905",204.229996,205.449997,201.570007,202.830002,2802100,202.830002,"GS","Financial","2019-04-11"
"30915",207,209.970001,206.369995,207.839996,5089100,207.839996,"GS","Financial","2019-04-12"
"30616",29.33,29.65,29.209999,29.309999,45771500,29.309999,"BAC","Financial","2019-03-01"
"30626",29.33,29.540001,28.77,29.030001,56893200,29.030001,"BAC","Financial","2019-03-04"
"30636",29.02,29.190001,28.700001,29.08,39932500,29.08,"BAC","Financial","2019-03-05"
"30646",29.01,29.16,28.799999,28.84,41672000,28.84,"BAC","Financial","2019-03-06"
"30656",28.67,28.719999,28.26,28.549999,53901000,28.549999,"BAC","Financial","2019-03-07"
"30666",28.059999,28.67,28.01,28.65,40860700,28.65,"BAC","Financial","2019-03-08"
"30676",28.700001,29.059999,28.700001,28.940001,40709300,28.940001,"BAC","Financial","2019-03-11"
"30686",29,29.120001,28.889999,28.940001,34450000,28.940001,"BAC","Financial","2019-03-12"
"30696",29.049999,29.51,28.98,29.290001,54683300,29.290001,"BAC","Financial","2019-03-13"
"30706",29.309999,29.639999,29.24,29.459999,45219100,29.459999,"BAC","Financial","2019-03-14"
"30716",29.440001,29.610001,29.26,29.299999,82346200,29.299999,"BAC","Financial","2019-03-15"
"30726",29.379999,29.959999,29.33,29.82,58568600,29.82,"BAC","Financial","2019-03-18"
"30736",30.01,30.139999,29.540001,29.65,55455100,29.65,"BAC","Financial","2019-03-19"
"30746",29.620001,29.66,28.6,28.639999,81689900,28.639999,"BAC","Financial","2019-03-20"
"30756",28.450001,28.6,28.040001,28.18,77444400,28.18,"BAC","Financial","2019-03-21"
"30766",27.91,28.07,26.709999,27.01,118851600,27.01,"BAC","Financial","2019-03-22"
